Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine
MG,3,1.5 Std,USD,"u$s4,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mg/3/pe/RT_PU_9967203c62d346c2bc4d82eae0afb9c1.webp,2014,85000 km,gasolina,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,1498 cc
KIA,Cerato,1.6L EX Aut,USD,"u$s7,999",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_a1a8e1382a5f4430b875dc23f41f42e0.webp,2014,156000 km,gasolina,automática 6 velocidades,Lima |Lima,Azul Galaxia,4 en línea,tela,1591 cc
Toyota,Rav4,2.0L Full 4x2,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_f41404e57e4748c1856f1eeff0eeb3ba.webp,2018,17000 km,gasolina,manual 6 velocidades,Trujillo |La Libertad,Plata Metálico,4 en línea,tela,1987 cc
Mazda,3 Sport,2.5L High  Aut,USD,"u$s5,390",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sport/pe/RT_PU_bbf07f5feb7546558dfe5d807295e4da.webp,2015,36000 km,gasolina,automática 6 velocidades,La Unión |Arequipa,Rojo,4 en línea,cuero,2497 cc
Ford,Territory,Titanium Plus,USD,"u$s24,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/territory/pe/RT_PU_1d3680dcf9c74dee81aaa9c137f4589b.webp,2021,29300 km,gasolina,automática 8 velocidades,Lima |Lima,Blanco,4 en línea,cuero,1500 cc
Hyundai,i10,GL 1.1L,USD,"u$s6,250",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/i10/pe/RT_PU_871ee1bda40f4c769fd1ba57c16f4b56.webp,2011,89000 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,tela,1086 cc
Hyundai,Sonata,"Gls L4,2.0i,16v A 2 1",USD,"u$s2,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/sonata/pe/RT_PU_1d315af04a0243d2bdf05709a730c833.webp,2003,300000 km,gasolina,N/D,Callao |Callao,Plata,N/D,,
BMW,Serie 4 Gran Coupé,420i,USD,"u$s45,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-4-gran-coupe/pe/RT_PU_b631e91451ef43219754e12a8dc185a4.webp,2023,1110 km,gasolina,automática 8 velocidades,Lima |Lima,Blanco,4 en línea,tela,1998 cc
Nissan,Versa,Advance CVT,USD,"u$s14,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/versa/pe/RT_PU_8d36a7e998b34de2ab230ce7f2208a47.webp,2022,38200 km,gasolina,automática CVT,Lima |Lima,Plata,4 en línea,tela,1598 cc
Toyota,Camry,"Version Sin Siglas L4,2.2i,16v A 2 1",USD,"u$s2,600",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/camry/pe/RT_PU_2100f642b3a2448db64bcae9d26ea8a1.webp,1994,280000 km,gasolina,N/D,Trujillo |La Libertad,Gris,N/D,,
