Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
SUZUKI,S-PRESSO,4x2,USD,"US$ 9,800",https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5117209.webp,2023,16684,Gasolina,Mecánica,"Lima, Lima",Rojo,3,tela,"1,000 cc"
DFSK,GLORY 500,Delantera,USD,"US$ 12,000",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_1941182.webp,2023,11054,Gas GLP,Mecánica,"Lima, Lima",Blanco,4,tela,"1,500 cc"
TOYOTA,YARIS,Delantera,USD,"US$ 15,500",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_7103350.webp,2023,15500,Gas GNV,Mecánica,"Lima, Lima",Rojo,4,tela,"1,300 cc"
FORD,RAPTOR,4x4,USD,"US$ 75,900",https://cde.neoauto.pe/autos_usados/360x240/303494/303494_5417536.webp,2020,12500,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,500 cc"
KIA,SPORTAGE,4x2,USD,"US$ 27,900",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4632773.webp,2023,52130,Gasolina,Mecánica,"Lima, Lima",Gris Oscuro,4,Asientos de cuero,"1,999 cc"
PEUGEOT,3008,AWD,USD,"US$ 28,750",https://cde.neoauto.pe/autos_usados/360x240/718667/718667_4406749.webp,2021,45000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,4,tela,"1,600 cc"
DFSK,GLORY 500,4x2,USD,"US$ 12,000",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4231845.webp,2023,11050,Dual,Mecánica,"Lima, Lima",,,tela,"1,500 cc"
AUDI,Q5,Quattro,USD,"US$ 44,900",https://cde.neoauto.pe/autos_usados/360x240/671842/671842_3471745.webp,2021,35000,Gasolina,Automática - Secuencial,"Lima, Lima",Rojo,4,tela,"2,000 cc"
HYUNDAI,ELANTRA,,USD,"US$ 18,995",https://cde.neoauto.pe/autos_usados/360x240/708742/708742_6736470.webp,2023,14268,Dual,Mecánica,"Lima, Lima",Negro,,Asientos de cuero,
NISSAN,KICKS,4x2,USD,"US$ 20,990",https://cde.neoauto.pe/autos_usados/360x240/708742/708742_4224964.webp,2023,890,Gasolina,Automática,"Lima, Lima",Negro,4,tela,"1,600 cc"
RENAULT,KOLEOS,4x2,USD,"US$ 10,985",https://cde.neoauto.pe/autos_usados/360x240/708742/708742_2357295.webp,2014,45565,Gasolina,Mecánica,"Lima, Lima",Blanco,,Asientos de cuero,
