Title,Subtitle,Price,Link,Year,km,Location
2007 Toyota Corolla 2.0L XEi CVT,,S/.48.544,http://img-us-2.trovit.com/img2pe/1XSD1e1j61xF/1XSD1e1j61xF.1_11.jpg,2007,158.000 Kms,"Huaura, Provincia de Huaural, Región de Lima"
2012 Volkswagen Polo 1.4L Comfort,,S/.34.728,http://img-us-2.trovit.com/img2pe/1y61v1-141t1U1x/1y61v1-141t1U1x.1_11.jpg,2012,115.000 Kms,"Provincia de Arequipa, Región de Arequipa"
2023 Haval Jolion Supreme AT,,S/.59.373,http://img-us-2.trovit.com/img2pe/W1W1r1h1I1TX1i/W1W1r1h1I1TX1i.1_11.jpg,2023,16.000 Kms,"Provincia de Lima, Región de Lima"
2022 Nissan Versa Advance CVT,,S/.54.145,http://img-us-2.trovit.com/img2pe/1E1DH1313f1w1V/1E1DH1313f1w1V.1_11.jpg,2022,38.200 Kms,"Provincia de Lima, Región de Lima"
Vendo peugeot 306 sedan 95 mecanico 1.4CC? Dual,,S/.10.500,http://img-us-2.trovit.com/img2pe/1JZfUY1S1v1k/1JZfUY1S1v1k.1_11.jpg,1995,,"Provincia de Lima, Región de Lima"
Ambulancias y carrocerias blancar srl,,Consultar precio,http://img-us-2.trovit.com/img2pe/cUyClB1o1_/cUyClB1o1_.1_10.jpg,,,"Provincia de Yauyos, Región de Lima"
2021 Chery Tiggo 7 PRO 1.5L Aut Full,,S/.56.012,http://img-us-2.trovit.com/img2pe/R1cA1Ar1y16M/R1cA1Ar1y16M.1_11.jpg,2021,22.500 Kms,"Provincia de Lima, Región de Lima"
2020 Subaru Forester 2.0i awd si drive xs aut,,S/.108.290,http://img-us-2.trovit.com/img2pe/ODrTR1q4f/ODrTR1q4f.1_11.jpg,2020,6.900 Kms,"Provincia de Lima, Región de Lima"
2022 Changan CS35 Plus 1.4L Luxury,,S/.58.999,http://img-us-2.trovit.com/img2pe/1mX14fcn14a/1mX14fcn14a.1_11.jpg,2022,18.700 Kms,"Provincia de Lima, Región de Lima"
2021 Ford Territory Titanium Plus,,S/.92.980,http://img-us-2.trovit.com/img2pe/H1nJm1Drh1S/H1nJm1Drh1S.1_11.jpg,2021,29.300 Kms,"Provincia de Lima, Región de Lima"
Koleos 2012 mecanico dual glp,,S/.33.234,http://img-us-2.trovit.com/img2pe/1_1Dl1X1H1f1v/1_1Dl1X1H1f1v.1_11.jpg,2012,,"Provincia de Lima, Región de Lima"
Veendo camioncito furgón casi nuevo,,S/.29.873,http://img-us-2.trovit.com/img2pe/8sTf1STlA/8sTf1STlA.1_10.jpg,,,"Provincia de Lima, Región de Lima"
2020 Jeep Compass Sport Aut,,S/.82.151,http://img-us-2.trovit.com/img2pe/181y111N1kY1-1P/181y111N1kY1-1P.1_11.jpg,2020,47.300 Kms,"Provincia de Lima, Región de Lima"
2014 Hyundai Tucson 2.0L GL 4x2,,S/.56.012,http://img-us-2.trovit.com/img2pe/1Y1z1Xr16u1w/1Y1z1Xr16u1w.1_11.jpg,2014,99.000 Kms,"Provincia de Cusco, Región de Cusco"
2008 Jeep Patriot 2.4L Limited,,S/.28.006,http://img-us-2.trovit.com/img2pe/d1j135c1BA1-/d1j135c1BA1-.1_11.jpg,2008,113.188 Kms,"Provincia de Lima, Región de Lima"
2013 Great Wall H3 2.0L City 4x4,,S/.33.234,http://img-us-2.trovit.com/img2pe/1-y1PE1cYa1p/1-y1PE1cYa1p.1_11.jpg,2013,98.000 Kms,"Provincia de Lima, Región de Lima"
Vendo peugeot 308 hatchabck 2009 automatico impeca,,S/.23.200,http://img-us-2.trovit.com/img2pe/m1o1s1t1x1WQ3/m1o1s1t1x1WQ3.1_11.jpg,2009,,"Provincia de Lima, Región de Lima"
Venta de contenedores akt usados,,Consultar precio,http://img-us-2.trovit.com/img2pe/1V1iC1jmZym/1V1iC1jmZym.1_10.jpg,,,"Pampas, Provincia de Tayacaja, Región de Huancavelica"
2023 Toyota Yaris Sedán 1.3L GLi CVT,,S/.67.215,http://img-us-2.trovit.com/img2pe/tJ1O187W1j3/tJ1O187W1j3.1_11.jpg,2023,34.822 Kms,"Provincia de Lima, Región de Lima"
2024 byd han ev gs,,S/.102.689,http://img-us-2.trovit.com/img2pe/1F1u1iaJ1xzv/1F1u1iaJ1xzv.1_11.jpg,2024,150 Kms,"Provincia de Lima, Región de Lima"
2013 Toyota Avanza 1.5L Aut,,S/.40.329,http://img-us-2.trovit.com/img2pe/1DXe1c5n17G/1DXe1c5n17G.1_11.jpg,2013,167.000 Kms,"Provincia de Lima, Región de Lima"
2024 Dongfeng S500 1.5L Luxury,,S/.50.411,http://img-us-2.trovit.com/img2pe/1bU1I1xK1l1cR/1bU1I1xK1l1cR.1_11.jpg,2024,40.000 Kms,"Provincia de Lima, Región de Lima"
De ocasion Ford Escort 1.9 año 1991 Automatic,,S/.5.950,http://img-us-2.trovit.com/img2pe/41mrr1B811I/41mrr1B811I.1_11.jpg,1991,,"Provincia de Lima, Región de Lima"
Se vende camioneta 4x4 toyota hilux,,S/.87.379,http://img-us-2.trovit.com/img2pe/v21A1uDg1VQ/v21A1uDg1VQ.1_10.jpg,,,"Provincia de Lima, Región de Lima"
2012 Mercedes Benz Clase C 180,,S/.44.436,http://img-us-2.trovit.com/img2pe/1pEZ1Ada1K1I/1pEZ1Ada1K1I.1_11.jpg,2012,113.600 Kms,"Provincia de Lima, Región de Lima"
